X,Y,Unique Squirrel ID,Shift,Date,Age,Primary Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from
40.7747213585,-73.9761592532,10A-AM-1006-04,AM,10062018,Juvenile,Gray,Above Ground,tree near large rock on Bridle Path,False,False,False,False,False,walking on branch,False,False,False,False,True,False,False,False
40.7950689723,-73.9544007659,38F-PM-1013-05,PM,10132018,Juvenile,Gray,Ground Plane,,False,False,False,False,True,"being chased,was pushed by other squirrel",True,True,False,False,False,False,False,False
40.7993681350,-73.9575986161,41B-PM-1014-01,PM,10142018,Adult,Gray,Above Ground,Climbing tree,False,False,True,False,False,climbing (tree),False,False,False,False,False,False,False,True
40.7955418991,-73.9607701370,36A-PM-1013-07,PM,10132018,,Gray,Ground Plane,"""FIELD""",False,True,False,False,False,chasing #8,False,False,False,False,False,False,False,True
40.7705846185,-73.9764036523,5C-AM-1006-05,AM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
40.7908193285,-73.9589249555,32E-PM-1017-03,PM,10172018,Adult,Gray,Above Ground,bottom of tree,False,False,False,True,False,still,False,False,False,False,False,False,True,False
40.7917685404,-73.9634623419,31A-PM-1017-04,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False
40.7978449143,-73.9521110155,42G-AM-1018-03,AM,10182018,Adult,Gray,Ground Plane,,True,False,False,False,False,stop to look at me—then ran,False,False,False,False,False,False,False,True
40.7950013620,-73.9574809028,37D-PM-1014-04,PM,10142018,Adult,Gray,Ground Plane,,False,True,False,False,True,chasing (a chipmunk),False,False,False,False,False,False,False,True
40.7854119343,-73.9670975927,24B-AM-1013-01,AM,10132018,,Gray,Above Ground,,True,False,False,True,False,took nut to bury,False,False,False,False,True,False,False,True
40.7701941550,-73.9711318790,7G-AM-1010-02,AM,10102018,Adult,Gray,Above Ground,,True,False,False,False,False,,False,False,False,False,True,False,False,True
40.7705409316,-73.9763243384,5C-PM-1010-13,PM,10102018,Adult,Gray,Above Ground,way up a tree!,False,False,True,False,False,,False,False,False,False,False,False,False,False
40.7755181942,-73.9651754464,15I-AM-1008-01,AM,10082018,Adult,Gray,Above Ground,tree,False,False,True,True,False,,False,False,False,False,False,False,True,False
40.7815739959,-73.9700100618,19B-PM-1018-01,PM,10182018,Adult,Gray,Above Ground,,True,False,False,False,False,flying,False,False,False,False,False,False,False,False
40.7762385471,-73.9719056182,13D-PM-1018-10,PM,10182018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
40.7922896177,-73.9530040924,36I-PM-1007-10,PM,10072018,Juvenile,Gray,Ground Plane,,False,False,False,True,False,stole (found?) an entire sandwich,False,False,False,False,False,False,True,False
40.7988487300,-73.9572093761,41B-AM-1010-06,AM,10102018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
40.7939581069,-73.9607746338,35B-AM-1010-01,AM,10102018,Adult,Gray,Ground Plane,lawn,False,False,False,False,False,walking w/ something in mouth,False,False,False,False,False,False,True,False
40.7973923397,-73.9566346046,40D-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
40.7963826754,-73.9592038888,38B-PM-1018-02,PM,10182018,Adult,Gray,Ground Plane,,False,False,False,False,True,burying nut,False,False,False,False,False,False,False,False
40.7950813346,-73.9511118711,40I-AM-1018-01,AM,10182018,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,begging,False,False,False,False,False,False,False,False
40.7729537573,-73.9769939796,7B-AM-1008-10,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
40.7763310393,-73.9712527810,13D-AM-1014-08,AM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
40.7772624641,-73.9671147090,16G-AM-1010-03,AM,10102018,Adult,Gray,Ground Plane,,False,False,False,False,True,was hanging out w/ #2 until i showed up,True,False,False,False,False,False,False,True
40.7982597948,-73.9588660250,40A-AM-1010-03,AM,10102018,Adult,Gray,Ground Plane,bottom of great hill,False,False,False,True,True,,False,False,False,True,False,False,True,True
40.7761841788,-73.9651601542,15I-PM-1012-07,PM,10122018,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False
40.7693711800,-73.9792155474,3B-PM-1007-11,PM,10072018,Adult,Gray,Above Ground,in tree,False,False,True,False,False,,False,False,False,False,False,False,False,False
40.7828778892,-73.9664100504,21D-AM-1008-02,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
40.7748467062,-73.9746229095,10B-PM-1014-05,PM,10142018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,True,False,False,False
40.7761092973,-73.9705092959,13E-PM-1008-07,PM,10082018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False
40.7997708190,-73.9581655949,41A-PM-1007-06,PM,10072018,Adult,Black,Ground Plane,,True,False,True,True,False,,False,False,False,False,False,False,False,True
40.7662992318,-73.9755560786,2F-AM-1006-05,AM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
40.7828208084,-73.9696433534,20B-AM-1007-01,AM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,True,quietly,False,False,False,False,False,False,True,False
40.7878964288,-73.9664711607,26A-PM-1006-06,PM,10062018,Adult,Gray,Ground Plane,Tree 90th left 90th & 89,False,False,True,False,False,,False,False,False,True,False,False,False,False
